instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,2011-01-01,1,0,1,0,0,6,0,1,0.22448979591836735,0.2879,0.81,0.0,3,13,0.015368852459016395
2,2011-01-01,1,0,1,1,0,6,0,1,0.20408163265306123,0.2727,0.8,0.0,8,32,0.039959016393442626
3,2011-01-01,1,0,1,2,0,6,0,1,0.20408163265306123,0.2727,0.8,0.0,5,27,0.031762295081967214
4,2011-01-01,1,0,1,3,0,6,0,1,0.22448979591836735,0.2879,0.75,0.0,3,10,0.012295081967213116
5,2011-01-01,1,0,1,4,0,6,0,1,0.22448979591836735,0.2879,0.75,0.0,0,1,0.0
6,2011-01-01,1,0,1,5,0,6,0,2,0.22448979591836735,0.2576,0.75,0.0896,0,1,0.0
7,2011-01-01,1,0,1,6,0,6,0,1,0.20408163265306123,0.2727,0.8,0.0,2,0,0.0010245901639344263
8,2011-01-01,1,0,1,7,0,6,0,1,0.1836734693877551,0.2576,0.86,0.0,1,2,0.002049180327868852
9,2011-01-01,1,0,1,8,0,6,0,1,0.22448979591836735,0.2879,0.75,0.0,1,7,0.007172131147540984
10,2011-01-01,1,0,1,9,0,6,0,1,0.30612244897959184,0.3485,0.76,0.0,8,6,0.013319672131147542
11,2011-01-01,1,0,1,10,0,6,0,1,0.36734693877551017,0.3939,0.76,0.2537,12,24,0.035860655737704916
12,2011-01-01,1,0,1,11,0,6,0,1,0.3469387755102041,0.3333,0.81,0.2836,26,30,0.05635245901639344
13,2011-01-01,1,0,1,12,0,6,0,1,0.4081632653061224,0.4242,0.77,0.2836,29,55,0.08504098360655737
14,2011-01-01,1,0,1,13,0,6,0,2,0.4489795918367347,0.4545,0.72,0.2985,47,47,0.09528688524590165
15,2011-01-01,1,0,1,14,0,6,0,2,0.4489795918367347,0.4545,0.72,0.2836,35,71,0.10758196721311476
16,2011-01-01,1,0,1,15,0,6,0,2,0.42857142857142855,0.4394,0.77,0.2985,40,70,0.11168032786885246
17,2011-01-01,1,0,1,16,0,6,0,2,0.4081632653061224,0.4242,0.82,0.2985,41,52,0.09426229508196722
18,2011-01-01,1,0,1,17,0,6,0,2,0.42857142857142855,0.4394,0.82,0.2836,15,52,0.06762295081967214
19,2011-01-01,1,0,1,18,0,6,0,3,0.4081632653061224,0.4242,0.88,0.2537,9,26,0.034836065573770496
20,2011-01-01,1,0,1,19,0,6,0,3,0.4081632653061224,0.4242,0.88,0.2537,6,31,0.036885245901639344
21,2011-01-01,1,0,1,20,0,6,0,2,0.3877551020408163,0.4091,0.87,0.2537,11,25,0.035860655737704916
22,2011-01-01,1,0,1,21,0,6,0,2,0.3877551020408163,0.4091,0.87,0.194,3,31,0.03381147540983607
23,2011-01-01,1,0,1,22,0,6,0,2,0.3877551020408163,0.4091,0.94,0.2239,11,17,0.027663934426229508
24,2011-01-01,1,0,1,23,0,6,0,2,0.4489795918367347,0.4545,0.88,0.2985,15,24,0.0389344262295082
25,2011-01-02,1,0,1,0,0,0,0,2,0.4489795918367347,0.4545,0.88,0.2985,4,13,0.01639344262295082
26,2011-01-02,1,0,1,1,0,0,0,2,0.42857142857142855,0.4394,0.94,0.2537,1,16,0.01639344262295082
27,2011-01-02,1,0,1,2,0,0,0,2,0.4081632653061224,0.4242,1.0,0.2836,1,8,0.00819672131147541
28,2011-01-02,1,0,1,3,0,0,0,2,0.4489795918367347,0.4545,0.94,0.194,2,4,0.005122950819672131
29,2011-01-02,1,0,1,4,0,0,0,2,0.4489795918367347,0.4545,0.94,0.194,2,1,0.002049180327868852
30,2011-01-02,1,0,1,6,0,0,0,3,0.4081632653061224,0.4242,0.77,0.2985,0,2,0.0010245901639344263
31,2011-01-02,1,0,1,7,0,0,0,2,0.3877551020408163,0.4091,0.76,0.194,0,1,0.0
32,2011-01-02,1,0,1,8,0,0,0,3,0.3877551020408163,0.4091,0.71,0.2239,0,8,0.007172131147540984
33,2011-01-02,1,0,1,9,0,0,0,2,0.36734693877551017,0.3939,0.76,0.2239,1,19,0.0194672131147541
34,2011-01-02,1,0,1,10,0,0,0,2,0.3469387755102041,0.3485,0.81,0.2239,7,46,0.05327868852459017
35,2011-01-02,1,0,1,11,0,0,0,2,0.3469387755102041,0.3333,0.71,0.2537,16,54,0.07069672131147542
36,2011-01-02,1,0,1,12,0,0,0,2,0.3469387755102041,0.3333,0.66,0.2985,20,73,0.09426229508196722
37,2011-01-02,1,0,1,13,0,0,0,2,0.3469387755102041,0.3485,0.66,0.1343,11,64,0.07581967213114754
38,2011-01-02,1,0,1,14,0,0,0,3,0.3469387755102041,0.3485,0.76,0.194,4,55,0.059426229508196725
39,2011-01-02,1,0,1,15,0,0,0,3,0.326530612244898,0.3333,0.81,0.1642,19,55,0.07479508196721311
40,2011-01-02,1,0,1,16,0,0,0,3,0.326530612244898,0.3333,0.71,0.1642,9,67,0.07684426229508197
41,2011-01-02,1,0,1,17,0,0,0,1,0.326530612244898,0.3333,0.57,0.194,7,58,0.06557377049180328
42,2011-01-02,1,0,1,18,0,0,0,2,0.3469387755102041,0.3333,0.46,0.3284,10,43,0.05327868852459017
43,2011-01-02,1,0,1,19,0,0,0,1,0.30612244897959184,0.2879,0.42,0.4478,1,29,0.029713114754098362
44,2011-01-02,1,0,1,20,0,0,0,1,0.2857142857142857,0.2727,0.39,0.3582,5,17,0.02151639344262295
45,2011-01-02,1,0,1,21,0,0,0,1,0.2448979591836735,0.2273,0.44,0.3284,11,20,0.030737704918032786
46,2011-01-02,1,0,1,22,0,0,0,1,0.22448979591836735,0.2121,0.44,0.2985,0,9,0.00819672131147541
47,2011-01-02,1,0,1,23,0,0,0,1,0.20408163265306123,0.2273,0.47,0.1642,0,8,0.007172131147540984
48,2011-01-03,1,0,1,0,0,1,1,1,0.20408163265306123,0.197,0.44,0.3582,0,5,0.004098360655737705
49,2011-01-03,1,0,1,1,0,1,1,1,0.1836734693877551,0.1667,0.44,0.4179,0,2,0.0010245901639344263
50,2011-01-03,1,0,1,4,0,1,1,1,0.14285714285714288,0.1364,0.47,0.3881,0,1,0.0
51,2011-01-03,1,0,1,5,0,1,1,1,0.14285714285714288,0.1364,0.47,0.2836,0,3,0.002049180327868852
52,2011-01-03,1,0,1,6,0,1,1,1,0.12244897959183676,0.1061,0.5,0.3881,0,30,0.029713114754098362
53,2011-01-03,1,0,1,7,0,1,1,1,0.12244897959183676,0.1364,0.5,0.194,1,63,0.06454918032786885
54,2011-01-03,1,0,1,8,0,1,1,1,0.12244897959183676,0.1212,0.5,0.2836,1,153,0.15676229508196723
55,2011-01-03,1,0,1,9,0,1,1,1,0.14285714285714288,0.1364,0.43,0.3881,7,81,0.08913934426229508
56,2011-01-03,1,0,1,10,0,1,1,1,0.163265306122449,0.1667,0.43,0.2537,11,33,0.04405737704918033
57,2011-01-03,1,0,1,11,0,1,1,1,0.1836734693877551,0.1818,0.4,0.3284,10,41,0.05122950819672131
58,2011-01-03,1,0,1,12,0,1,1,1,0.20408163265306123,0.2121,0.35,0.2985,13,48,0.06147540983606557
59,2011-01-03,1,0,1,13,0,1,1,1,0.22448979591836735,0.2121,0.35,0.2836,8,53,0.06147540983606557
60,2011-01-03,1,0,1,14,0,1,1,1,0.2448979591836735,0.2424,0.3,0.2836,11,66,0.0778688524590164
61,2011-01-03,1,0,1,15,0,1,1,1,0.2448979591836735,0.2424,0.3,0.2537,14,58,0.07274590163934426
62,2011-01-03,1,0,1,16,0,1,1,1,0.2448979591836735,0.2424,0.3,0.2537,9,67,0.07684426229508197
63,2011-01-03,1,0,1,17,0,1,1,1,0.22448979591836735,0.2273,0.3,0.2239,11,146,0.1598360655737705
64,2011-01-03,1,0,1,18,0,1,1,1,0.22448979591836735,0.2576,0.32,0.1045,9,148,0.1598360655737705
65,2011-01-03,1,0,1,19,0,1,1,1,0.1836734693877551,0.2576,0.47,0.0,8,102,0.11168032786885246
66,2011-01-03,1,0,1,20,0,1,1,1,0.1836734693877551,0.2273,0.47,0.1045,3,49,0.05225409836065574
67,2011-01-03,1,0,1,21,0,1,1,1,0.163265306122449,0.197,0.64,0.1343,3,49,0.05225409836065574
68,2011-01-03,1,0,1,22,0,1,1,1,0.12244897959183676,0.1515,0.69,0.1343,0,20,0.0194672131147541
69,2011-01-03,1,0,1,23,0,1,1,1,0.163265306122449,0.2121,0.55,0.1045,1,11,0.011270491803278689
70,2011-01-04,1,0,1,0,0,2,1,1,0.14285714285714288,0.1818,0.55,0.1045,0,5,0.004098360655737705
71,2011-01-04,1,0,1,1,0,2,1,1,0.14285714285714288,0.1818,0.59,0.1045,0,2,0.0010245901639344263
72,2011-01-04,1,0,1,2,0,2,1,1,0.12244897959183676,0.1515,0.63,0.1343,0,1,0.0
73,2011-01-04,1,0,1,4,0,2,1,1,0.12244897959183676,0.1818,0.63,0.0896,0,2,0.0010245901639344263
74,2011-01-04,1,0,1,5,0,2,1,1,0.10204081632653061,0.1515,0.68,0.1045,0,4,0.0030737704918032786
75,2011-01-04,1,0,1,6,0,2,1,1,0.10204081632653061,0.1515,0.74,0.1045,0,36,0.035860655737704916
76,2011-01-04,1,0,1,7,0,2,1,1,0.10204081632653061,0.1515,0.74,0.1343,2,92,0.09528688524590165
77,2011-01-04,1,0,1,8,0,2,1,1,0.12244897959183676,0.1515,0.69,0.1642,2,177,0.1823770491803279
78,2011-01-04,1,0,1,9,0,2,1,1,0.14285714285714288,0.1515,0.64,0.2239,2,98,0.1014344262295082
79,2011-01-04,1,0,1,10,0,2,1,2,0.14285714285714288,0.1364,0.69,0.3284,5,37,0.042008196721311473
80,2011-01-04,1,0,1,11,0,2,1,1,0.20408163265306123,0.2121,0.51,0.2985,7,50,0.05737704918032787
81,2011-01-04,1,0,1,12,0,2,1,1,0.20408163265306123,0.2273,0.51,0.1642,12,66,0.07889344262295082
82,2011-01-04,1,0,1,13,0,2,1,1,0.22448979591836735,0.2273,0.56,0.194,18,79,0.09836065573770492
83,2011-01-04,1,0,1,14,0,2,1,1,0.2448979591836735,0.2576,0.52,0.2239,9,54,0.06352459016393443
84,2011-01-04,1,0,1,15,0,2,1,1,0.2653061224489796,0.2727,0.52,0.2537,17,48,0.06557377049180328
85,2011-01-04,1,0,1,16,0,2,1,1,0.2857142857142857,0.2879,0.49,0.2537,15,68,0.08401639344262296
86,2011-01-04,1,0,1,17,0,2,1,1,0.2653061224489796,0.2727,0.48,0.2239,10,202,0.21618852459016397
87,2011-01-04,1,0,1,18,0,2,1,1,0.2448979591836735,0.2576,0.48,0.194,3,179,0.18545081967213117
88,2011-01-04,1,0,1,19,0,2,1,1,0.22448979591836735,0.2576,0.48,0.1045,2,110,0.11372950819672131
89,2011-01-04,1,0,1,20,0,2,1,1,0.22448979591836735,0.2576,0.48,0.1045,1,53,0.054303278688524595
90,2011-01-04,1,0,1,21,0,2,1,1,0.20408163265306123,0.2727,0.64,0.0,0,48,0.04815573770491803
91,2011-01-04,1,0,1,22,0,2,1,1,0.20408163265306123,0.2576,0.64,0.0896,1,34,0.034836065573770496
92,2011-01-04,1,0,1,23,0,2,1,1,0.1836734693877551,0.2273,0.69,0.0896,2,9,0.010245901639344263
93,2011-01-05,1,0,1,0,0,3,1,1,0.1836734693877551,0.2576,0.64,0.0,0,6,0.005122950819672131
94,2011-01-05,1,0,1,1,0,3,1,1,0.14285714285714288,0.197,0.74,0.0896,0,6,0.005122950819672131
95,2011-01-05,1,0,1,2,0,3,1,1,0.14285714285714288,0.197,0.74,0.0896,0,2,0.0010245901639344263
96,2011-01-05,1,0,1,4,0,3,1,1,0.22448979591836735,0.2273,0.48,0.2239,0,2,0.0010245901639344263
97,2011-01-05,1,0,1,5,0,3,1,1,0.20408163265306123,0.2273,0.47,0.1642,0,3,0.002049180327868852
98,2011-01-05,1,0,1,6,0,3,1,1,0.1836734693877551,0.197,0.47,0.2239,0,33,0.03278688524590164
99,2011-01-05,1,0,1,7,0,3,1,1,0.163265306122449,0.1818,0.43,0.194,1,87,0.08913934426229508
100,2011-01-05,1,0,1,8,0,3,1,1,0.1836734693877551,0.1818,0.4,0.2985,3,192,0.19877049180327871
101,2011-01-05,1,0,1,9,0,3,1,1,0.20408163265306123,0.197,0.37,0.3284,6,109,0.1168032786885246
102,2011-01-05,1,0,1,10,0,3,1,1,0.20408163265306123,0.197,0.37,0.3284,4,53,0.05737704918032787
103,2011-01-05,1,0,1,11,0,3,1,1,0.2448979591836735,0.2273,0.33,0.3284,12,34,0.04610655737704918
104,2011-01-05,1,0,1,12,0,3,1,1,0.2448979591836735,0.2273,0.33,0.3284,5,74,0.07991803278688525
105,2011-01-05,1,0,1,13,0,3,1,1,0.2653061224489796,0.2576,0.3,0.2985,6,65,0.07172131147540983
106,2011-01-05,1,0,1,14,0,3,1,1,0.2857142857142857,0.2879,0.28,0.194,10,52,0.0625
107,2011-01-05,1,0,1,15,0,3,1,1,0.2857142857142857,0.2879,0.28,0.194,7,55,0.0625
108,2011-01-05,1,0,1,16,0,3,1,1,0.2857142857142857,0.3182,0.28,0.0896,4,85,0.09016393442622951
